Model Name,Granularity,Magnification,Modality,Pretrain,Frozen,Vote,Accuracy
ResNet152,512,20x,texture,scratch,unfrozen,novote,45.46
ResNet152,512,20x,texture,scratch,unfrozen,vote,48.89
ResNet152,512,20x,texture,scratch,frozen,novote,46.33
ResNet152,512,20x,texture,scratch,frozen,vote,50.58
ResNet152,512,20x,texture,pretrained,unfrozen,novote,36.66
ResNet152,512,20x,texture,pretrained,unfrozen,vote,33.02
ResNet152,512,20x,texture,pretrained,frozen,novote,34.12
ResNet152,512,20x,texture,pretrained,frozen,vote,36.72
ResNet152,512,20x,heightmap,scratch,unfrozen,novote,34.0
ResNet152,512,20x,heightmap,scratch,unfrozen,vote,34.92
ResNet152,512,20x,heightmap,scratch,frozen,novote,31.9
ResNet152,512,20x,heightmap,scratch,frozen,vote,28.47
ResNet152,512,20x,heightmap,pretrained,unfrozen,novote,31.9
ResNet152,512,20x,heightmap,pretrained,unfrozen,vote,27.94
ResNet152,512,20x,heightmap,pretrained,frozen,novote,29.43
ResNet152,512,20x,heightmap,pretrained,frozen,vote,35.45
ResNet152,512,20x+50x,texture,scratch,unfrozen,novote,36.0
ResNet152,512,20x+50x,texture,scratch,unfrozen,vote,38.25
ResNet152,512,20x+50x,texture,scratch,frozen,novote,39.75
ResNet152,512,20x+50x,texture,scratch,frozen,vote,37.5
ResNet152,512,20x+50x,texture,pretrained,unfrozen,novote,40.25
ResNet152,512,20x+50x,texture,pretrained,unfrozen,vote,44.25
ResNet152,512,20x+50x,texture,pretrained,frozen,novote,53.75
ResNet152,512,20x+50x,texture,pretrained,frozen,vote,58.5
ResNet152,512,20x+50x,heightmap,scratch,unfrozen,novote,56.2
ResNet152,512,20x+50x,heightmap,scratch,unfrozen,vote,47.79
ResNet152,512,20x+50x,heightmap,scratch,frozen,novote,38.8
ResNet152,512,20x+50x,heightmap,scratch,frozen,vote,38.24
ResNet152,512,20x+50x,heightmap,pretrained,unfrozen,novote,50.8
ResNet152,512,20x+50x,heightmap,pretrained,unfrozen,vote,44.12
ResNet152,512,20x+50x,heightmap,pretrained,frozen,novote,60.4
ResNet152,512,20x+50x,heightmap,pretrained,frozen,vote,61.76
ResNet152,512,50x,texture,scratch,unfrozen,novote,39.0
ResNet152,512,50x,texture,scratch,unfrozen,vote,30.77
ResNet152,512,50x,texture,scratch,frozen,novote,26.0
ResNet152,512,50x,texture,scratch,frozen,vote,28.85
ResNet152,512,50x,texture,pretrained,unfrozen,novote,32.0
ResNet152,512,50x,texture,pretrained,unfrozen,vote,28.85
ResNet152,512,50x,texture,pretrained,frozen,novote,51.58
ResNet152,512,50x,texture,pretrained,frozen,vote,51.92
ResNet152,512,50x,heightmap,scratch,unfrozen,novote,50.5
ResNet152,512,50x,heightmap,scratch,unfrozen,vote,39.42
ResNet152,512,50x,heightmap,scratch,frozen,novote,35.25
ResNet152,512,50x,heightmap,scratch,frozen,vote,31.73
ResNet152,512,50x,heightmap,pretrained,unfrozen,novote,42.17
ResNet152,512,50x,heightmap,pretrained,unfrozen,vote,29.81
ResNet152,512,50x,heightmap,pretrained,frozen,novote,59.0
ResNet152,512,50x,heightmap,pretrained,frozen,vote,53.85
ResNet152,256,20x,texture,scratch,unfrozen,novote,38.96
ResNet152,256,20x,texture,scratch,unfrozen,vote,45.84
ResNet152,256,20x,texture,scratch,frozen,novote,30.74
ResNet152,256,20x,texture,scratch,frozen,vote,33.13
ResNet152,256,20x,texture,pretrained,unfrozen,novote,49.57
ResNet152,256,20x,texture,pretrained,unfrozen,vote,55.82
ResNet152,256,20x,texture,pretrained,frozen,novote,34.67
ResNet152,256,20x,texture,pretrained,frozen,vote,38.22
ResNet152,256,20x,heightmap,scratch,unfrozen,novote,37.43
ResNet152,256,20x,heightmap,scratch,unfrozen,vote,40.61
ResNet152,256,20x,heightmap,scratch,frozen,novote,31.26
ResNet152,256,20x,heightmap,scratch,frozen,vote,32.9
ResNet152,256,20x,heightmap,pretrained,unfrozen,novote,32.88
ResNet152,256,20x,heightmap,pretrained,unfrozen,vote,34.8
ResNet152,256,20x,heightmap,pretrained,frozen,novote,35.23
ResNet152,256,20x,heightmap,pretrained,frozen,vote,38.54
ResNet152,256,20x+50x,texture,scratch,unfrozen,novote,47.21
ResNet152,256,20x+50x,texture,scratch,unfrozen,vote,50.91
ResNet152,256,20x+50x,texture,scratch,frozen,novote,39.86
ResNet152,256,20x+50x,texture,scratch,frozen,vote,46.59
ResNet152,256,20x+50x,texture,pretrained,unfrozen,novote,45.89
ResNet152,256,20x+50x,texture,pretrained,unfrozen,vote,46.14
ResNet152,256,20x+50x,texture,pretrained,frozen,novote,48.68
ResNet152,256,20x+50x,texture,pretrained,frozen,vote,54.77
ResNet152,256,20x+50x,heightmap,scratch,unfrozen,novote,48.29
ResNet152,256,20x+50x,heightmap,scratch,unfrozen,vote,55.91
ResNet152,256,20x+50x,heightmap,scratch,frozen,novote,39.68
ResNet152,256,20x+50x,heightmap,scratch,frozen,vote,41.36
ResNet152,256,20x+50x,heightmap,pretrained,unfrozen,novote,53.32
ResNet152,256,20x+50x,heightmap,pretrained,unfrozen,vote,59.32
ResNet152,256,20x+50x,heightmap,pretrained,frozen,novote,55.57
ResNet152,256,20x+50x,heightmap,pretrained,frozen,vote,67.05
ResNet152,256,50x,texture,scratch,unfrozen,novote,40.09
ResNet152,256,50x,texture,scratch,unfrozen,vote,45.19
ResNet152,256,50x,texture,scratch,frozen,novote,26.75
ResNet152,256,50x,texture,scratch,frozen,vote,32.69
ResNet152,256,50x,texture,pretrained,unfrozen,novote,37.95
ResNet152,256,50x,texture,pretrained,unfrozen,vote,46.15
ResNet152,256,50x,texture,pretrained,frozen,novote,52.63
ResNet152,256,50x,texture,pretrained,frozen,vote,57.69
ResNet152,256,50x,heightmap,scratch,unfrozen,novote,38.56
ResNet152,256,50x,heightmap,scratch,unfrozen,vote,41.35
ResNet152,256,50x,heightmap,scratch,frozen,novote,27.24
ResNet152,256,50x,heightmap,scratch,frozen,vote,27.88
ResNet152,256,50x,heightmap,pretrained,unfrozen,novote,44.61
ResNet152,256,50x,heightmap,pretrained,unfrozen,vote,49.04
ResNet152,256,50x,heightmap,pretrained,frozen,novote,51.29
ResNet152,256,50x,heightmap,pretrained,frozen,vote,58.65
ResNet152,865,20x,texture,scratch,unfrozen,novote,26.98
ResNet152,865,20x,texture,scratch,unfrozen,vote,29.11
ResNet152,865,20x,texture,scratch,frozen,novote,37.0
ResNet152,865,20x,texture,scratch,frozen,vote,33.54
ResNet152,865,20x,texture,pretrained,unfrozen,novote,23.81
ResNet152,865,20x,texture,pretrained,unfrozen,vote,27.85
ResNet152,865,20x,texture,pretrained,frozen,novote,29.41
ResNet152,865,20x,texture,pretrained,frozen,vote,25.32
ResNet152,865,20x,heightmap,scratch,unfrozen,novote,12.5
ResNet152,865,20x,heightmap,scratch,unfrozen,vote,15.82
