Model Name,Granularity,Magnification,Modality,Training Strategy,Accuracy
ResNet152,512,20x,texture,From Scratch,48.89
ResNet152,512,20x,texture,Need to delete,50.58
ResNet152,512,20x,texture,Full-Parameter Fine-Tuning,33.02
ResNet152,512,20x,texture,Linear Probing,36.72
ResNet152,512,20x,heightmap,From Scratch,34.92
ResNet152,512,20x,heightmap,Need to delete,28.47
ResNet152,512,20x,heightmap,Full-Parameter Fine-Tuning,27.94
ResNet152,512,20x,heightmap,Linear Probing,35.45
ResNet152,512,20x+50x,texture,From Scratch,38.25
ResNet152,512,20x+50x,texture,Need to delete,37.5
ResNet152,512,20x+50x,texture,Full-Parameter Fine-Tuning,44.25
ResNet152,512,20x+50x,texture,Linear Probing,58.5
ResNet152,512,20x+50x,heightmap,From Scratch,47.79
ResNet152,512,20x+50x,heightmap,Need to delete,38.24
ResNet152,512,20x+50x,heightmap,Full-Parameter Fine-Tuning,44.12
ResNet152,512,20x+50x,heightmap,Linear Probing,61.76
ResNet152,512,50x,texture,From Scratch,30.77
ResNet152,512,50x,texture,Need to delete,28.85
ResNet152,512,50x,texture,Full-Parameter Fine-Tuning,28.85
ResNet152,512,50x,texture,Linear Probing,51.92
ResNet152,512,50x,heightmap,From Scratch,39.42
ResNet152,512,50x,heightmap,Need to delete,31.73
ResNet152,512,50x,heightmap,Full-Parameter Fine-Tuning,29.81
ResNet152,512,50x,heightmap,Linear Probing,53.85
ResNet152,256,20x,texture,From Scratch,45.84
ResNet152,256,20x,texture,Need to delete,33.13
ResNet152,256,20x,texture,Full-Parameter Fine-Tuning,55.82
ResNet152,256,20x,texture,Linear Probing,38.22
ResNet152,256,20x,heightmap,From Scratch,40.61
ResNet152,256,20x,heightmap,Need to delete,32.9
ResNet152,256,20x,heightmap,Full-Parameter Fine-Tuning,34.8
ResNet152,256,20x,heightmap,Linear Probing,38.54
ResNet152,256,20x+50x,texture,From Scratch,50.91
ResNet152,256,20x+50x,texture,Need to delete,46.59
ResNet152,256,20x+50x,texture,Full-Parameter Fine-Tuning,46.14
ResNet152,256,20x+50x,texture,Linear Probing,54.77
ResNet152,256,20x+50x,heightmap,From Scratch,55.91
ResNet152,256,20x+50x,heightmap,Need to delete,41.36
ResNet152,256,20x+50x,heightmap,Full-Parameter Fine-Tuning,59.32
ResNet152,256,20x+50x,heightmap,Linear Probing,67.05
ResNet152,256,50x,texture,From Scratch,45.19
ResNet152,256,50x,texture,Need to delete,32.69
ResNet152,256,50x,texture,Full-Parameter Fine-Tuning,46.15
ResNet152,256,50x,texture,Linear Probing,57.69
ResNet152,256,50x,heightmap,From Scratch,41.35
ResNet152,256,50x,heightmap,Need to delete,27.88
ResNet152,256,50x,heightmap,Full-Parameter Fine-Tuning,49.04
ResNet152,256,50x,heightmap,Linear Probing,58.65
ResNet152,865,20x,texture,From Scratch,29.11
ResNet152,865,20x,texture,Need to delete,33.54
ResNet152,865,20x,texture,Full-Parameter Fine-Tuning,27.85
ResNet152,865,20x,texture,Linear Probing,25.32
ResNet152,865,20x,heightmap,From Scratch,15.82
ResNet152,865,20x,heightmap,Need to delete,29.11
ResNet152,865,20x,heightmap,Full-Parameter Fine-Tuning,27.85
ResNet152,865,20x,heightmap,Linear Probing,31.65
ResNet152,865,20x+50x,texture,From Scratch,27.5
ResNet152,865,20x+50x,texture,Need to delete,33.33
ResNet152,865,20x+50x,texture,Full-Parameter Fine-Tuning,26.67
ResNet152,865,20x+50x,texture,Linear Probing,35.83
